Wyckoff pos.|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(m)|4c(m)|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(m)|4c(m)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|A′↑G(4)|A′′↑G(4)|Agˢ↑G(4)|Aᵤˢ↑G(4)|Agˢ↑G(4)|Aᵤˢ↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁻(1)|2Γ₅ˢ(2)|2Γ₆ˢ(2)|2Γ₅ˢ(2)|2Γ₆ˢ(2)|Γ₅ˢ(2)⊕Γ₆ˢ(2)|Γ₅ˢ(2)⊕Γ₆ˢ(2)
R:(1/2,1/2,1/2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₁(2)⊕R₂(2)|R₃ˢ(2)⊕R₄ˢ(2)|R₃ˢ(2)⊕R₄ˢ(2)|R₃ˢ(2)⊕R₄ˢ(2)|R₃ˢ(2)⊕R₄ˢ(2)|R₃ˢ(2)⊕R₄ˢ(2)|R₃ˢ(2)⊕R₄ˢ(2)
S:(1/2,1/2,0)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₁(2)⊕S₂(2)|S₃ˢ(2)⊕S₄ˢ(2)|S₃ˢ(2)⊕S₄ˢ(2)|S₃ˢ(2)⊕S₄ˢ(2)|S₃ˢ(2)⊕S₄ˢ(2)|S₃ˢ(2)⊕S₄ˢ(2)|S₃ˢ(2)⊕S₄ˢ(2)
T:(0,1/2,1/2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₃ˢ(2)⊕T₄ˢ(2)|T₃ˢ(2)⊕T₄ˢ(2)|T₃ˢ(2)⊕T₄ˢ(2)|T₃ˢ(2)⊕T₄ˢ(2)|T₃ˢ(2)⊕T₄ˢ(2)|T₃ˢ(2)⊕T₄ˢ(2)
U:(1/2,0,1/2)|U₁⁺(1)⊕U₂⁺(1)⊕U₃⁺(1)⊕U₄⁺(1)|U₁⁻(1)⊕U₂⁻(1)⊕U₃⁻(1)⊕U₄⁻(1)|U₁⁻(1)⊕U₂⁻(1)⊕U₃⁻(1)⊕U₄⁻(1)|U₁⁺(1)⊕U₂⁺(1)⊕U₃⁺(1)⊕U₄⁺(1)|U₁⁺(1)⊕U₂⁻(1)⊕U₃⁻(1)⊕U₄⁺(1)|U₁⁻(1)⊕U₂⁺(1)⊕U₃⁺(1)⊕U₄⁻(1)|2U₅ˢ(2)|2U₆ˢ(2)|2U₆ˢ(2)|2U₅ˢ(2)|U₅ˢ(2)⊕U₆ˢ(2)|U₅ˢ(2)⊕U₆ˢ(2)
X:(1/2,0,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)|2X₂(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)|X₃ˢ(2)⊕X₄ˢ(2)
Y:(0,1/2,0)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₃ˢ(2)⊕Y₄ˢ(2)|Y₃ˢ(2)⊕Y₄ˢ(2)|Y₃ˢ(2)⊕Y₄ˢ(2)|Y₃ˢ(2)⊕Y₄ˢ(2)|Y₃ˢ(2)⊕Y₄ˢ(2)|Y₃ˢ(2)⊕Y₄ˢ(2)
