Wyckoff pos.|3a(3)|3a(3)|3a(3)|3a(3)|3a(3)|3a(3)
Band-Rep.|A₁↑G(1)|¹E↑G(1)|²E↑G(1)|¹Eˢ↑G(1)|²Eˢ↑G(1)|Eˢ↑G(1)
Decomposable|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)|Γ₃(1)|Γ₂(1)|Γ₅ˢ(1)|Γ₆ˢ(1)|Γ₄ˢ(1)
T:(0,0,3/2)|T₁(1)|T₃(1)|T₂(1)|T₅ˢ(1)|T₆ˢ(1)|T₄ˢ(1)
F:(0,1/2,1)|F₁(1)|F₁(1)|F₁(1)|F₂ˢ(1)|F₂ˢ(1)|F₂ˢ(1)
L:(-1/2,1/2,1/2)|L₁(1)|L₁(1)|L₁(1)|L₂ˢ(1)|L₂ˢ(1)|L₂ˢ(1)
Λ:(0,0,w)|Λ₁(1)|Λ₃(1)|Λ₂(1)|Λ₅ˢ(1)|Λ₆ˢ(1)|Λ₄ˢ(1)
C:(u,-u,w)|C₁(1)|C₁(1)|C₁(1)|C₂ˢ(1)|C₂ˢ(1)|C₂ˢ(1)
Ω:(u,v,w)|Ω₁(1)|Ω₁(1)|Ω₁(1)|Ω₂ˢ(1)|Ω₂ˢ(1)|Ω₂ˢ(1)
Σ:(u,-2u,0)|Σ₁(1)|Σ₁(1)|Σ₁(1)|Σ₂ˢ(1)|Σ₂ˢ(1)|Σ₂ˢ(1)
Y:(u,u,3/2)|Y₁(1)|Y₁(1)|Y₁(1)|Y₂ˢ(1)|Y₂ˢ(1)|Y₂ˢ(1)
