Wyckoff pos.|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2a(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2b(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2c(2/m)|2d(2/m)|2d(2/m)|2d(2/m)|2d(2/m)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Bg↑G(2)|Bᵤ↑G(2)|¹Egˢ↑G(2)|¹Eᵤˢ↑G(2)|²Egˢ↑G(2)|²Eᵤˢ↑G(2)|¹Egˢ↑G(2)|¹Eᵤˢ↑G(2)|²Egˢ↑G(2)|²Eᵤˢ↑G(2)|¹Egˢ↑G(2)|¹Eᵤˢ↑G(2)|²Egˢ↑G(2)|²Eᵤˢ↑G(2)|¹Egˢ↑G(2)|¹Eᵤˢ↑G(2)|²Egˢ↑G(2)|²Eᵤˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)|Γ₅ˢ(2)|Γ₆ˢ(2)
R:(1/2,1/2,1/2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₂(2)|R₂(2)|R₁(2)|R₁(2)|R₄ˢ(2)|R₃ˢ(2)|R₃ˢ(2)|R₄ˢ(2)|R₃ˢ(2)|R₄ˢ(2)|R₄ˢ(2)|R₃ˢ(2)|R₄ˢ(2)|R₃ˢ(2)|R₃ˢ(2)|R₄ˢ(2)|R₃ˢ(2)|R₄ˢ(2)|R₄ˢ(2)|R₃ˢ(2)
S:(1/2,1/2,0)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₃⁻(1)⊕S₄⁻(1)|S₃⁺(1)⊕S₄⁺(1)|S₁⁻(1)⊕S₂⁻(1)|S₁⁺(1)⊕S₂⁺(1)|S₅ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₅ˢ(2)|S₆ˢ(2)|S₅ˢ(2)
T:(0,1/2,1/2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁺(2)|T₁⁻(2)|T₁⁺(2)|T₁⁻(2)|T₃ˢ(1)⊕T₅ˢ(1)|T₇ˢ(1)⊕T₉ˢ(1)|T₂ˢ(1)⊕T₄ˢ(1)|T₆ˢ(1)⊕T₈ˢ(1)|T₇ˢ(1)⊕T₉ˢ(1)|T₃ˢ(1)⊕T₅ˢ(1)|T₆ˢ(1)⊕T₈ˢ(1)|T₂ˢ(1)⊕T₄ˢ(1)|T₆ˢ(1)⊕T₈ˢ(1)|T₂ˢ(1)⊕T₄ˢ(1)|T₇ˢ(1)⊕T₉ˢ(1)|T₃ˢ(1)⊕T₅ˢ(1)|T₂ˢ(1)⊕T₄ˢ(1)|T₆ˢ(1)⊕T₈ˢ(1)|T₃ˢ(1)⊕T₅ˢ(1)|T₇ˢ(1)⊕T₉ˢ(1)
U:(1/2,0,1/2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁻(2)|U₁⁺(2)|U₁⁻(2)|U₁⁺(2)|U₃ˢ(1)⊕U₅ˢ(1)|U₇ˢ(1)⊕U₉ˢ(1)|U₂ˢ(1)⊕U₄ˢ(1)|U₆ˢ(1)⊕U₈ˢ(1)|U₇ˢ(1)⊕U₉ˢ(1)|U₃ˢ(1)⊕U₅ˢ(1)|U₆ˢ(1)⊕U₈ˢ(1)|U₂ˢ(1)⊕U₄ˢ(1)|U₃ˢ(1)⊕U₅ˢ(1)|U₇ˢ(1)⊕U₉ˢ(1)|U₂ˢ(1)⊕U₄ˢ(1)|U₆ˢ(1)⊕U₈ˢ(1)|U₇ˢ(1)⊕U₉ˢ(1)|U₃ˢ(1)⊕U₅ˢ(1)|U₆ˢ(1)⊕U₈ˢ(1)|U₂ˢ(1)⊕U₄ˢ(1)
X:(1/2,0,0)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₁(2)|X₂(2)|X₂(2)|X₁(2)|X₄ˢ(2)|X₄ˢ(2)|X₃ˢ(2)|X₃ˢ(2)|X₄ˢ(2)|X₄ˢ(2)|X₃ˢ(2)|X₃ˢ(2)|X₄ˢ(2)|X₄ˢ(2)|X₃ˢ(2)|X₃ˢ(2)|X₄ˢ(2)|X₄ˢ(2)|X₃ˢ(2)|X₃ˢ(2)
Y:(0,1/2,0)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₂(2)|Y₁(2)|Y₁(2)|Y₂(2)|Y₄ˢ(2)|Y₄ˢ(2)|Y₃ˢ(2)|Y₃ˢ(2)|Y₄ˢ(2)|Y₄ˢ(2)|Y₃ˢ(2)|Y₃ˢ(2)|Y₃ˢ(2)|Y₃ˢ(2)|Y₄ˢ(2)|Y₄ˢ(2)|Y₃ˢ(2)|Y₃ˢ(2)|Y₄ˢ(2)|Y₄ˢ(2)
