Wyckoff pos.|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1a(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1b(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1c(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1d(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1e(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)|1f(-6)
Band-Rep.|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|A′↑G(1)|A′′↑G(1)|¹E′↑G(1)|¹E′′↑G(1)|²E′↑G(1)|²E′′↑G(1)|¹E₁ˢ↑G(1)|¹E₂ˢ↑G(1)|¹E₃ˢ↑G(1)|²E₁ˢ↑G(1)|²E₂ˢ↑G(1)|²E₃ˢ↑G(1)|¹E₁ˢ↑G(1)|¹E₂ˢ↑G(1)|¹E₃ˢ↑G(1)|²E₁ˢ↑G(1)|²E₂ˢ↑G(1)|²E₃ˢ↑G(1)|¹E₁ˢ↑G(1)|¹E₂ˢ↑G(1)|¹E₃ˢ↑G(1)|²E₁ˢ↑G(1)|²E₂ˢ↑G(1)|²E₃ˢ↑G(1)|¹E₁ˢ↑G(1)|¹E₂ˢ↑G(1)|¹E₃ˢ↑G(1)|²E₁ˢ↑G(1)|²E₂ˢ↑G(1)|²E₃ˢ↑G(1)|¹E₁ˢ↑G(1)|¹E₂ˢ↑G(1)|¹E₃ˢ↑G(1)|²E₁ˢ↑G(1)|²E₂ˢ↑G(1)|²E₃ˢ↑G(1)|¹E₁ˢ↑G(1)|¹E₂ˢ↑G(1)|¹E₃ˢ↑G(1)|²E₁ˢ↑G(1)|²E₂ˢ↑G(1)|²E₃ˢ↑G(1)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)|A₂(1)|A₅(1)|A₆(1)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(1)|A₅(1)|A₄(1)|A₃(1)|A₁(1)|A₂(1)|A₅(1)|A₆(1)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(1)|A₅(1)|A₄(1)|A₃(1)|A₁(1)|A₂(1)|A₅(1)|A₆(1)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(1)|A₅(1)|A₄(1)|A₃(1)|A₈ˢ(1)|A₁₂ˢ(1)|A₁₀ˢ(1)|A₇ˢ(1)|A₉ˢ(1)|A₁₁ˢ(1)|A₇ˢ(1)|A₁₁ˢ(1)|A₉ˢ(1)|A₈ˢ(1)|A₁₀ˢ(1)|A₁₂ˢ(1)|A₈ˢ(1)|A₁₂ˢ(1)|A₁₀ˢ(1)|A₇ˢ(1)|A₉ˢ(1)|A₁₁ˢ(1)|A₇ˢ(1)|A₁₁ˢ(1)|A₉ˢ(1)|A₈ˢ(1)|A₁₀ˢ(1)|A₁₂ˢ(1)|A₈ˢ(1)|A₁₂ˢ(1)|A₁₀ˢ(1)|A₇ˢ(1)|A₉ˢ(1)|A₁₁ˢ(1)|A₇ˢ(1)|A₁₁ˢ(1)|A₉ˢ(1)|A₈ˢ(1)|A₁₀ˢ(1)|A₁₂ˢ(1)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₅(1)|Γ₆(1)|Γ₃(1)|Γ₄(1)|Γ₁(1)|Γ₂(1)|Γ₅(1)|Γ₆(1)|Γ₃(1)|Γ₄(1)|Γ₁(1)|Γ₂(1)|Γ₅(1)|Γ₆(1)|Γ₃(1)|Γ₄(1)|Γ₁(1)|Γ₂(1)|Γ₅(1)|Γ₆(1)|Γ₃(1)|Γ₄(1)|Γ₁(1)|Γ₂(1)|Γ₅(1)|Γ₆(1)|Γ₃(1)|Γ₄(1)|Γ₁(1)|Γ₂(1)|Γ₅(1)|Γ₆(1)|Γ₃(1)|Γ₄(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₁₀ˢ(1)|Γ₇ˢ(1)|Γ₉ˢ(1)|Γ₁₁ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₁₀ˢ(1)|Γ₇ˢ(1)|Γ₉ˢ(1)|Γ₁₁ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₁₀ˢ(1)|Γ₇ˢ(1)|Γ₉ˢ(1)|Γ₁₁ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₁₀ˢ(1)|Γ₇ˢ(1)|Γ₉ˢ(1)|Γ₁₁ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₁₀ˢ(1)|Γ₇ˢ(1)|Γ₉ˢ(1)|Γ₁₁ˢ(1)|Γ₈ˢ(1)|Γ₁₂ˢ(1)|Γ₁₀ˢ(1)|Γ₇ˢ(1)|Γ₉ˢ(1)|Γ₁₁ˢ(1)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₅(1)|H₆(1)|H₃(1)|H₄(1)|H₂(1)|H₁(1)|H₆(1)|H₅(1)|H₄(1)|H₃(1)|H₃(1)|H₄(1)|H₁(1)|H₂(1)|H₅(1)|H₆(1)|H₄(1)|H₃(1)|H₂(1)|H₁(1)|H₆(1)|H₅(1)|H₅(1)|H₆(1)|H₃(1)|H₄(1)|H₁(1)|H₂(1)|H₆(1)|H₅(1)|H₄(1)|H₃(1)|H₂(1)|H₁(1)|H₈ˢ(1)|H₁₂ˢ(1)|H₁₀ˢ(1)|H₇ˢ(1)|H₉ˢ(1)|H₁₁ˢ(1)|H₇ˢ(1)|H₁₁ˢ(1)|H₉ˢ(1)|H₈ˢ(1)|H₁₀ˢ(1)|H₁₂ˢ(1)|H₁₀ˢ(1)|H₈ˢ(1)|H₁₂ˢ(1)|H₉ˢ(1)|H₁₁ˢ(1)|H₇ˢ(1)|H₉ˢ(1)|H₇ˢ(1)|H₁₁ˢ(1)|H₁₀ˢ(1)|H₁₂ˢ(1)|H₈ˢ(1)|H₁₂ˢ(1)|H₁₀ˢ(1)|H₈ˢ(1)|H₁₁ˢ(1)|H₇ˢ(1)|H₉ˢ(1)|H₁₁ˢ(1)|H₉ˢ(1)|H₇ˢ(1)|H₁₂ˢ(1)|H₈ˢ(1)|H₁₀ˢ(1)
HA:(-1/3,-1/3,-1/2)|HA₁(1)|HA₂(1)|HA₃(1)|HA₄(1)|HA₅(1)|HA₆(1)|HA₂(1)|HA₁(1)|HA₄(1)|HA₃(1)|HA₆(1)|HA₅(1)|HA₃(1)|HA₄(1)|HA₅(1)|HA₆(1)|HA₁(1)|HA₂(1)|HA₄(1)|HA₃(1)|HA₆(1)|HA₅(1)|HA₂(1)|HA₁(1)|HA₅(1)|HA₆(1)|HA₁(1)|HA₂(1)|HA₃(1)|HA₄(1)|HA₆(1)|HA₅(1)|HA₂(1)|HA₁(1)|HA₄(1)|HA₃(1)|HA₇ˢ(1)|HA₉ˢ(1)|HA₁₁ˢ(1)|HA₈ˢ(1)|HA₁₂ˢ(1)|HA₁₀ˢ(1)|HA₈ˢ(1)|HA₁₀ˢ(1)|HA₁₂ˢ(1)|HA₇ˢ(1)|HA₁₁ˢ(1)|HA₉ˢ(1)|HA₉ˢ(1)|HA₁₁ˢ(1)|HA₇ˢ(1)|HA₁₀ˢ(1)|HA₈ˢ(1)|HA₁₂ˢ(1)|HA₁₀ˢ(1)|HA₁₂ˢ(1)|HA₈ˢ(1)|HA₉ˢ(1)|HA₇ˢ(1)|HA₁₁ˢ(1)|HA₁₁ˢ(1)|HA₇ˢ(1)|HA₉ˢ(1)|HA₁₂ˢ(1)|HA₁₀ˢ(1)|HA₈ˢ(1)|HA₁₂ˢ(1)|HA₈ˢ(1)|HA₁₀ˢ(1)|HA₁₁ˢ(1)|HA₉ˢ(1)|HA₇ˢ(1)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₅(1)|K₆(1)|K₃(1)|K₄(1)|K₁(1)|K₂(1)|K₅(1)|K₆(1)|K₃(1)|K₄(1)|K₃(1)|K₄(1)|K₁(1)|K₂(1)|K₅(1)|K₆(1)|K₃(1)|K₄(1)|K₁(1)|K₂(1)|K₅(1)|K₆(1)|K₅(1)|K₆(1)|K₃(1)|K₄(1)|K₁(1)|K₂(1)|K₅(1)|K₆(1)|K₃(1)|K₄(1)|K₁(1)|K₂(1)|K₈ˢ(1)|K₁₂ˢ(1)|K₁₀ˢ(1)|K₇ˢ(1)|K₉ˢ(1)|K₁₁ˢ(1)|K₈ˢ(1)|K₁₂ˢ(1)|K₁₀ˢ(1)|K₇ˢ(1)|K₉ˢ(1)|K₁₁ˢ(1)|K₁₀ˢ(1)|K₈ˢ(1)|K₁₂ˢ(1)|K₉ˢ(1)|K₁₁ˢ(1)|K₇ˢ(1)|K₁₀ˢ(1)|K₈ˢ(1)|K₁₂ˢ(1)|K₉ˢ(1)|K₁₁ˢ(1)|K₇ˢ(1)|K₁₂ˢ(1)|K₁₀ˢ(1)|K₈ˢ(1)|K₁₁ˢ(1)|K₇ˢ(1)|K₉ˢ(1)|K₁₂ˢ(1)|K₁₀ˢ(1)|K₈ˢ(1)|K₁₁ˢ(1)|K₇ˢ(1)|K₉ˢ(1)
KA:(-1/3,-1/3,0)|KA₁(1)|KA₂(1)|KA₃(1)|KA₄(1)|KA₅(1)|KA₆(1)|KA₁(1)|KA₂(1)|KA₃(1)|KA₄(1)|KA₅(1)|KA₆(1)|KA₃(1)|KA₄(1)|KA₅(1)|KA₆(1)|KA₁(1)|KA₂(1)|KA₃(1)|KA₄(1)|KA₅(1)|KA₆(1)|KA₁(1)|KA₂(1)|KA₅(1)|KA₆(1)|KA₁(1)|KA₂(1)|KA₃(1)|KA₄(1)|KA₅(1)|KA₆(1)|KA₁(1)|KA₂(1)|KA₃(1)|KA₄(1)|KA₇ˢ(1)|KA₉ˢ(1)|KA₁₁ˢ(1)|KA₈ˢ(1)|KA₁₂ˢ(1)|KA₁₀ˢ(1)|KA₇ˢ(1)|KA₉ˢ(1)|KA₁₁ˢ(1)|KA₈ˢ(1)|KA₁₂ˢ(1)|KA₁₀ˢ(1)|KA₉ˢ(1)|KA₁₁ˢ(1)|KA₇ˢ(1)|KA₁₀ˢ(1)|KA₈ˢ(1)|KA₁₂ˢ(1)|KA₉ˢ(1)|KA₁₁ˢ(1)|KA₇ˢ(1)|KA₁₀ˢ(1)|KA₈ˢ(1)|KA₁₂ˢ(1)|KA₁₁ˢ(1)|KA₇ˢ(1)|KA₉ˢ(1)|KA₁₂ˢ(1)|KA₁₀ˢ(1)|KA₈ˢ(1)|KA₁₁ˢ(1)|KA₇ˢ(1)|KA₉ˢ(1)|KA₁₂ˢ(1)|KA₁₀ˢ(1)|KA₈ˢ(1)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₂(1)|L₁(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₃ˢ(1)|L₄ˢ(1)|L₄ˢ(1)|L₄ˢ(1)
