Wyckoff pos.|1a(3)|1a(3)|1b(3)|1b(3)|1c(3)|1c(3)|1a(3)|1a(3)|1b(3)|1b(3)|1c(3)|1c(3)
Band-Rep.|A₁↑G(1)|¹E²E↑G(2)|A₁↑G(1)|¹E²E↑G(2)|A₁↑G(1)|¹E²E↑G(2)|¹Eˢ²Eˢ↑G(2)|EˢEˢ↑G(2)|¹Eˢ²Eˢ↑G(2)|EˢEˢ↑G(2)|¹Eˢ²Eˢ↑G(2)|EˢEˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁(1)|A₂A₃(2)|A₁(1)|A₂A₃(2)|A₁(1)|A₂A₃(2)|Aˢ₅Aˢ₆(2)|Aˢ₄Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₄Aˢ₄(2)|Aˢ₅Aˢ₆(2)|Aˢ₄Aˢ₄(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂Γ₃(2)|Γ₁(1)|Γ₂Γ₃(2)|Γ₁(1)|Γ₂Γ₃(2)|Γˢ₅Γˢ₆(2)|Γˢ₄Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₄Γˢ₄(2)|Γˢ₅Γˢ₆(2)|Γˢ₄Γˢ₄(2)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)⊕H₃(1)|H₂(1)|H₁(1)⊕H₃(1)|H₃(1)|H₁(1)⊕H₂(1)|Hˢ₅(1)⊕Hˢ₆(1)|2Hˢ₄(1)|Hˢ₄(1)⊕Hˢ₆(1)|2Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₅(1)|2Hˢ₆(1)
HA:(-1/3,-1/3,-1/2)|HA₁(1)|HA₂(1)⊕HA₃(1)|HA₂(1)|HA₁(1)⊕HA₃(1)|HA₃(1)|HA₁(1)⊕HA₂(1)|HAˢ₅(1)⊕HAˢ₆(1)|2HAˢ₄(1)|HAˢ₄(1)⊕HAˢ₆(1)|2HAˢ₅(1)|HAˢ₄(1)⊕HAˢ₅(1)|2HAˢ₆(1)
K:(1/3,1/3,0)|K₁(1)|K₂(1)⊕K₃(1)|K₂(1)|K₁(1)⊕K₃(1)|K₃(1)|K₁(1)⊕K₂(1)|Kˢ₅(1)⊕Kˢ₆(1)|2Kˢ₄(1)|Kˢ₄(1)⊕Kˢ₆(1)|2Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₅(1)|2Kˢ₆(1)
KA:(-1/3,-1/3,0)|KA₁(1)|KA₂(1)⊕KA₃(1)|KA₂(1)|KA₁(1)⊕KA₃(1)|KA₃(1)|KA₁(1)⊕KA₂(1)|KAˢ₅(1)⊕KAˢ₆(1)|2KAˢ₄(1)|KAˢ₄(1)⊕KAˢ₆(1)|2KAˢ₅(1)|KAˢ₄(1)⊕KAˢ₅(1)|2KAˢ₆(1)
L:(1/2,0,1/2)|L₁(1)|2L₁(1)|L₁(1)|2L₁(1)|L₁(1)|2L₁(1)|Lˢ₂Lˢ₂(2)|Lˢ₂Lˢ₂(2)|Lˢ₂Lˢ₂(2)|Lˢ₂Lˢ₂(2)|Lˢ₂Lˢ₂(2)|Lˢ₂Lˢ₂(2)
