Wyckoff pos.|2a(3)|2a(3)|2b(3)|2b(3)|2a(3)|2a(3)|2b(3)|2b(3)
Band-Rep.|A₁↑G(2)|¹E²E↑G(4)|A₁↑G(2)|¹E²E↑G(4)|¹Eˢ²Eˢ↑G(4)|EˢEˢ↑G(4)|¹Eˢ²Eˢ↑G(4)|EˢEˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false
A:(0,0,1/2)|A₁A₂(2)|A₃A₃(4)|A₁A₂(2)|A₃A₃(4)|Aˢ₆Aˢ₆(4)|Aˢ₄Aˢ₄(2)⊕Aˢ₅Aˢ₅(2)|Aˢ₆Aˢ₆(4)|Aˢ₄Aˢ₄(2)⊕Aˢ₅Aˢ₅(2)
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|Γ₁(1)⊕Γ₂(1)|2Γ₃(2)|2Γˢ₆(2)|2Γˢ₄Γˢ₅(2)|2Γˢ₆(2)|2Γˢ₄Γˢ₅(2)
H:(1/3,1/3,1/2)|H₁(1)⊕H₂(1)|2H₃(2)|H₃(2)|H₁(1)⊕H₂(1)⊕H₃(2)|2Hˢ₆(2)|2Hˢ₄(1)⊕2Hˢ₅(1)|Hˢ₄(1)⊕Hˢ₅(1)⊕Hˢ₆(2)|2Hˢ₆(2)
HA:(-1/3,-1/3,-1/2)|HA₁(1)⊕HA₂(1)|2HA₃(2)|HA₃(2)|HA₁(1)⊕HA₂(1)⊕HA₃(2)|2HAˢ₆(2)|2HAˢ₄(1)⊕2HAˢ₅(1)|HAˢ₄(1)⊕HAˢ₅(1)⊕HAˢ₆(2)|2HAˢ₆(2)
K:(1/3,1/3,0)|K₁(1)⊕K₂(1)|2K₃(2)|K₃(2)|K₁(1)⊕K₂(1)⊕K₃(2)|2Kˢ₆(2)|2Kˢ₄(1)⊕2Kˢ₅(1)|Kˢ₄(1)⊕Kˢ₅(1)⊕Kˢ₆(2)|2Kˢ₆(2)
KA:(-1/3,-1/3,0)|KA₁(1)⊕KA₂(1)|2KA₃(2)|KA₃(2)|KA₁(1)⊕KA₂(1)⊕KA₃(2)|2KAˢ₆(2)|2KAˢ₄(1)⊕2KAˢ₅(1)|KAˢ₄(1)⊕KAˢ₅(1)⊕KAˢ₆(2)|2KAˢ₆(2)
L:(1/2,0,1/2)|L₁L₂(2)|2L₁L₂(2)|L₁L₂(2)|2L₁L₂(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)|Lˢ₃Lˢ₃(2)⊕Lˢ₄Lˢ₄(2)
