Wyckoff pos.|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|2c(6ˢ)|2c(6ˢ)|2c(6ˢ)|2c(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)|1a(6ˢ2m)|1a(6ˢ2m)|1a(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|1b(6ˢ2m)|2c(6ˢ)|2c(6ˢ)|2c(6ˢ)|2d(6ˢ)|2d(6ˢ)|2d(6ˢ)
Band-Rep.|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|A₁'↑G(1)|A₁''↑G(1)|A₂'↑G(1)|A₂''↑G(1)|E'↑G(2)|E''↑G(2)|A'↑G(2)|A''↑G(2)|¹E''²E''↑G(4)|¹E'²E'↑G(4)|A'↑G(2)|A''↑G(2)|¹E''²E''↑G(4)|¹E'²E'↑G(4)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Eˢ₃↑G(2)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₃²Eˢ₃↑G(4)|¹Eˢ₁²Eˢ₁↑G(4)|¹Eˢ₂²Eˢ₂↑G(4)|¹Eˢ₃²Eˢ₃↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|true|true|false|false|false|false|false|false|true|true|true|true|true|true
A:(0,0,1/2)|A₁(1)|A₂(1)|A₄(1)|A₃(1)|A₅(2)|A₆(2)|A₃(1)|A₄(1)|A₂(1)|A₁(1)|A₆(2)|A₅(2)|A₁(1)⊕A₄(1)|A₂(1)⊕A₃(1)|2A₆(2)|2A₅(2)|A₂(1)⊕A₃(1)|A₁(1)⊕A₄(1)|2A₅(2)|2A₆(2)|Aˢ₉(2)|Aˢ₈(2)|Aˢ₇(2)|Aˢ₈(2)|Aˢ₉(2)|Aˢ₇(2)|2Aˢ₇(2)|2Aˢ₈(2)|2Aˢ₉(2)|2Aˢ₇(2)|2Aˢ₉(2)|2Aˢ₈(2)
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)|Γ₂(1)|Γ₄(1)|Γ₃(1)|Γ₅(2)|Γ₆(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₆(2)|2Γ₅(2)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γ₆(2)|2Γ₅(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|Γˢ₉(2)|Γˢ₈(2)|Γˢ₇(2)|2Γˢ₇(2)|2Γˢ₈(2)|2Γˢ₉(2)|2Γˢ₇(2)|2Γˢ₈(2)|2Γˢ₉(2)
H:(1/3,1/3,1/2)|H₁(1)|H₂(1)|H₄(1)|H₃(1)|H₅(2)|H₆(2)|H₃(1)|H₄(1)|H₂(1)|H₁(1)|H₆(2)|H₅(2)|H₅(2)|H₆(2)|H₂(1)⊕H₃(1)⊕H₆(2)|H₁(1)⊕H₄(1)⊕H₅(2)|H₆(2)|H₅(2)|H₁(1)⊕H₄(1)⊕H₅(2)|H₂(1)⊕H₃(1)⊕H₆(2)|Hˢ₉(2)|Hˢ₈(2)|Hˢ₇(2)|Hˢ₈(2)|Hˢ₉(2)|Hˢ₇(2)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₇(2)⊕Hˢ₉(2)|Hˢ₇(2)⊕Hˢ₈(2)|Hˢ₈(2)⊕Hˢ₉(2)|Hˢ₇(2)⊕Hˢ₈(2)|Hˢ₇(2)⊕Hˢ₉(2)
HA:(-1/3,-1/3,-1/2)|HA₁(1)|HA₂(1)|HA₄(1)|HA₃(1)|HA₅(2)|HA₆(2)|HA₃(1)|HA₄(1)|HA₂(1)|HA₁(1)|HA₆(2)|HA₅(2)|HA₅(2)|HA₆(2)|HA₂(1)⊕HA₃(1)⊕HA₆(2)|HA₁(1)⊕HA₄(1)⊕HA₅(2)|HA₆(2)|HA₅(2)|HA₁(1)⊕HA₄(1)⊕HA₅(2)|HA₂(1)⊕HA₃(1)⊕HA₆(2)|HAˢ₉(2)|HAˢ₈(2)|HAˢ₇(2)|HAˢ₈(2)|HAˢ₉(2)|HAˢ₇(2)|HAˢ₈(2)⊕HAˢ₉(2)|HAˢ₇(2)⊕HAˢ₉(2)|HAˢ₇(2)⊕HAˢ₈(2)|HAˢ₈(2)⊕HAˢ₉(2)|HAˢ₇(2)⊕HAˢ₈(2)|HAˢ₇(2)⊕HAˢ₉(2)
K:(1/3,1/3,0)|K₁(1)|K₂(1)|K₄(1)|K₃(1)|K₅(2)|K₆(2)|K₁(1)|K₂(1)|K₄(1)|K₃(1)|K₅(2)|K₆(2)|K₅(2)|K₆(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|K₅(2)|K₆(2)|K₂(1)⊕K₃(1)⊕K₆(2)|K₁(1)⊕K₄(1)⊕K₅(2)|Kˢ₉(2)|Kˢ₈(2)|Kˢ₇(2)|Kˢ₉(2)|Kˢ₈(2)|Kˢ₇(2)|Kˢ₈(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₈(2)|Kˢ₈(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₉(2)|Kˢ₇(2)⊕Kˢ₈(2)
KA:(-1/3,-1/3,0)|KA₁(1)|KA₂(1)|KA₄(1)|KA₃(1)|KA₅(2)|KA₆(2)|KA₁(1)|KA₂(1)|KA₄(1)|KA₃(1)|KA₅(2)|KA₆(2)|KA₅(2)|KA₆(2)|KA₂(1)⊕KA₃(1)⊕KA₆(2)|KA₁(1)⊕KA₄(1)⊕KA₅(2)|KA₅(2)|KA₆(2)|KA₂(1)⊕KA₃(1)⊕KA₆(2)|KA₁(1)⊕KA₄(1)⊕KA₅(2)|KAˢ₉(2)|KAˢ₈(2)|KAˢ₇(2)|KAˢ₉(2)|KAˢ₈(2)|KAˢ₇(2)|KAˢ₈(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₈(2)|KAˢ₈(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₉(2)|KAˢ₇(2)⊕KAˢ₈(2)
L:(1/2,0,1/2)|L₁(1)|L₂(1)|L₄(1)|L₃(1)|L₁(1)⊕L₄(1)|L₂(1)⊕L₃(1)|L₃(1)|L₄(1)|L₂(1)|L₁(1)|L₂(1)⊕L₃(1)|L₁(1)⊕L₄(1)|L₁(1)⊕L₄(1)|L₂(1)⊕L₃(1)|2L₂(1)⊕2L₃(1)|2L₁(1)⊕2L₄(1)|L₂(1)⊕L₃(1)|L₁(1)⊕L₄(1)|2L₁(1)⊕2L₄(1)|2L₂(1)⊕2L₃(1)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)|2Lˢ₅(2)
M:(1/2,0,0)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)|M₂(1)|M₄(1)|M₃(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|2M₂(1)⊕2M₃(1)|2M₁(1)⊕2M₄(1)|M₁(1)⊕M₄(1)|M₂(1)⊕M₃(1)|2M₂(1)⊕2M₃(1)|2M₁(1)⊕2M₄(1)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)|2Mˢ₅(2)
Δ:(0,0,w)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)|Δ₂(1)|Δ₂(1)|Δ₁(1)|Δ₃(2)|Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃(2)|2Δ₃(2)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₃(2)|2Δ₃(2)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|Δˢ₆(2)|Δˢ₆(2)|Δˢ₄(1)⊕Δˢ₅(1)|2Δˢ₄(1)⊕2Δˢ₅(1)|2Δˢ₆(2)|2Δˢ₆(2)|2Δˢ₄(1)⊕2Δˢ₅(1)|2Δˢ₆(2)|2Δˢ₆(2)
