Wyckoff pos.|2a(1ˢ)|2a(1ˢ)|2b(1ˢ)|2b(1ˢ)|2c(1ˢ)|2c(1ˢ)|2d(1ˢ)|2d(1ˢ)|2a(1ˢ)|2a(1ˢ)|2b(1ˢ)|2b(1ˢ)|2c(1ˢ)|2c(1ˢ)|2d(1ˢ)|2d(1ˢ)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)|AˢgAˢg↑G(4)|AˢᵤAˢᵤ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|Aˢ₂Aˢ₂(4)|Aˢ₂Aˢ₂(4)|Aˢ₂Aˢ₂(4)|Aˢ₂Aˢ₂(4)|Aˢ₂Aˢ₂(4)|Aˢ₂Aˢ₂(4)|Aˢ₂Aˢ₂(4)|Aˢ₂Aˢ₂(4)
B:(0,0,1/2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|Bˢ₂Bˢ₂(4)|Bˢ₂Bˢ₂(4)|Bˢ₂Bˢ₂(4)|Bˢ₂Bˢ₂(4)|Bˢ₂Bˢ₂(4)|Bˢ₂Bˢ₂(4)|Bˢ₂Bˢ₂(4)|Bˢ₂Bˢ₂(4)
C:(1/2,1/2,0)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|C₁(2)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)|Cˢ₂Cˢ₂(4)
D:(0,1/2,1/2)|D₁⁺D₂⁺(2)|D₁⁻D₂⁻(2)|D₁⁺D₂⁺(2)|D₁⁻D₂⁻(2)|D₁⁻D₂⁻(2)|D₁⁺D₂⁺(2)|D₁⁻D₂⁻(2)|D₁⁺D₂⁺(2)|Dˢ₃Dˢ₃(2)⊕Dˢ₄Dˢ₄(2)|Dˢ₅Dˢ₅(2)⊕Dˢ₆Dˢ₆(2)|Dˢ₃Dˢ₃(2)⊕Dˢ₄Dˢ₄(2)|Dˢ₅Dˢ₅(2)⊕Dˢ₆Dˢ₆(2)|Dˢ₅Dˢ₅(2)⊕Dˢ₆Dˢ₆(2)|Dˢ₃Dˢ₃(2)⊕Dˢ₄Dˢ₄(2)|Dˢ₅Dˢ₅(2)⊕Dˢ₆Dˢ₆(2)|Dˢ₃Dˢ₃(2)⊕Dˢ₄Dˢ₄(2)
E:(1/2,1/2,1/2)|E₁⁺E₂⁺(2)|E₁⁻E₂⁻(2)|E₁⁻E₂⁻(2)|E₁⁺E₂⁺(2)|E₁⁻E₂⁻(2)|E₁⁺E₂⁺(2)|E₁⁺E₂⁺(2)|E₁⁻E₂⁻(2)|Eˢ₃Eˢ₃(2)⊕Eˢ₄Eˢ₄(2)|Eˢ₅Eˢ₅(2)⊕Eˢ₆Eˢ₆(2)|Eˢ₅Eˢ₅(2)⊕Eˢ₆Eˢ₆(2)|Eˢ₃Eˢ₃(2)⊕Eˢ₄Eˢ₄(2)|Eˢ₅Eˢ₅(2)⊕Eˢ₆Eˢ₆(2)|Eˢ₃Eˢ₃(2)⊕Eˢ₄Eˢ₄(2)|Eˢ₃Eˢ₃(2)⊕Eˢ₄Eˢ₄(2)|Eˢ₅Eˢ₅(2)⊕Eˢ₆Eˢ₆(2)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)|2Γˢ₃Γˢ₄(2)|2Γˢ₅Γˢ₆(2)
Y:(1/2,0,0)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|2Yˢ₃Yˢ₄(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₃Yˢ₄(2)|2Yˢ₃Yˢ₄(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₅Yˢ₆(2)|2Yˢ₃Yˢ₄(2)
Z:(0,1/2,0)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Zˢ₂Zˢ₂(4)|Zˢ₂Zˢ₂(4)|Zˢ₂Zˢ₂(4)|Zˢ₂Zˢ₂(4)|Zˢ₂Zˢ₂(4)|Zˢ₂Zˢ₂(4)|Zˢ₂Zˢ₂(4)|Zˢ₂Zˢ₂(4)
F:(u,0,w)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)|2Fˢ₃Fˢ₄(2)
G:(u,1/2,w)|G₁G₂(2)|G₁G₂(2)|G₁G₂(2)|G₁G₂(2)|G₁G₂(2)|G₁G₂(2)|G₁G₂(2)|G₁G₂(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)|Gˢ₃Gˢ₃(2)⊕Gˢ₄Gˢ₄(2)
Λ:(0,v,0)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)|2Λˢ₃Λˢ₄(2)
U:(1/2,v,1/2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)|Uˢ₃Uˢ₃(2)⊕Uˢ₄Uˢ₄(2)
