Wyckoff pos.|1a(m-3)|1a(m-3)|1a(m-3)|1a(m-3)|1a(m-3)|1a(m-3)|1b(m-3)|1b(m-3)|1b(m-3)|1b(m-3)|1b(m-3)|1b(m-3)|3c(mmm)|3c(mmm)|3c(mmm)|3c(mmm)|3c(mmm)|3c(mmm)|3c(mmm)|3c(mmm)|3d(mmm)|3d(mmm)|3d(mmm)|3d(mmm)|3d(mmm)|3d(mmm)|3d(mmm)|3d(mmm)|1a(m-3)|1a(m-3)|1a(m-3)|1a(m-3)|1b(m-3)|1b(m-3)|1b(m-3)|1b(m-3)|3c(mmm)|3c(mmm)|3d(mmm)|3d(mmm)
Band-Rep.|Ag↑G(1)|Aᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Tg↑G(3)|Tᵤ↑G(3)|Ag↑G(1)|Aᵤ↑G(1)|¹Eg²Eg↑G(2)|¹Eᵤ²Eᵤ↑G(2)|Tg↑G(3)|Tᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|B₃g↑G(3)|B₃ᵤ↑G(3)|Ag↑G(3)|Aᵤ↑G(3)|B₁g↑G(3)|B₁ᵤ↑G(3)|B₂g↑G(3)|B₂ᵤ↑G(3)|B₃g↑G(3)|B₃ᵤ↑G(3)|Egˢ↑G(2)|Eᵤˢ↑G(2)|¹Fgˢ²Fgˢ↑G(4)|¹Fᵤˢ²Fᵤˢ↑G(4)|Egˢ↑G(2)|Eᵤˢ↑G(2)|¹Fgˢ²Fgˢ↑G(4)|¹Fᵤˢ²Fᵤˢ↑G(4)|Egˢ↑G(6)|Eᵤˢ↑G(6)|Egˢ↑G(6)|Eᵤˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)|Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)|Γ₁⁻(1)|Γ₂⁺Γ₃⁺(2)|Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₁⁺(1)⊕Γ₂⁺Γ₃⁺(2)|Γ₁⁻(1)⊕Γ₂⁻Γ₃⁻(2)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₄⁺(3)|Γ₄⁻(3)|Γ₅ˢ(2)|Γ₈ˢ(2)|Γ₆ˢΓ₇ˢ(4)|Γ₁₀ˢΓ₉ˢ(4)|Γ₅ˢ(2)|Γ₈ˢ(2)|Γ₆ˢΓ₇ˢ(4)|Γ₁₀ˢΓ₉ˢ(4)|Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|Γ₈ˢ(2)⊕Γ₁₀ˢΓ₉ˢ(4)|Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)|Γ₈ˢ(2)⊕Γ₁₀ˢΓ₉ˢ(4)
R:(1/2,1/2,1/2)|R₁⁺(1)|R₁⁻(1)|R₂⁺R₃⁺(2)|R₂⁻R₃⁻(2)|R₄⁺(3)|R₄⁻(3)|R₁⁻(1)|R₁⁺(1)|R₂⁻R₃⁻(2)|R₂⁺R₃⁺(2)|R₄⁻(3)|R₄⁺(3)|R₄⁺(3)|R₄⁻(3)|R₄⁺(3)|R₄⁻(3)|R₄⁺(3)|R₄⁻(3)|R₁⁺(1)⊕R₂⁺R₃⁺(2)|R₁⁻(1)⊕R₂⁻R₃⁻(2)|R₄⁻(3)|R₄⁺(3)|R₄⁻(3)|R₄⁺(3)|R₄⁻(3)|R₄⁺(3)|R₁⁻(1)⊕R₂⁻R₃⁻(2)|R₁⁺(1)⊕R₂⁺R₃⁺(2)|R₅ˢ(2)|R₈ˢ(2)|R₆ˢR₇ˢ(4)|R₁₀ˢR₉ˢ(4)|R₈ˢ(2)|R₅ˢ(2)|R₁₀ˢR₉ˢ(4)|R₆ˢR₇ˢ(4)|R₅ˢ(2)⊕R₆ˢR₇ˢ(4)|R₈ˢ(2)⊕R₁₀ˢR₉ˢ(4)|R₈ˢ(2)⊕R₁₀ˢR₉ˢ(4)|R₅ˢ(2)⊕R₆ˢR₇ˢ(4)
M:(1/2,1/2,0)|M₁⁺(1)|M₁⁻(1)|2M₁⁺(1)|2M₁⁻(1)|M₂⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₂⁻(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₂⁺(1)|M₂⁻(1)|2M₂⁺(1)|2M₂⁻(1)|M₁⁺(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₁⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₁⁺(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₁⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₁⁺(1)⊕2M₂⁻(1)|M₁⁻(1)⊕2M₂⁺(1)|M₁⁺(1)⊕M₃⁻(1)⊕M₄⁻(1)|M₁⁻(1)⊕M₃⁺(1)⊕M₄⁺(1)|M₂⁻(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₂⁺(1)⊕M₄⁺(1)⊕M₄⁻(1)|M₂⁻(1)⊕M₃⁺(1)⊕M₃⁻(1)|M₂⁺(1)⊕M₃⁺(1)⊕M₃⁻(1)|2M₁⁻(1)⊕M₂⁺(1)|2M₁⁺(1)⊕M₂⁻(1)|M₅ˢ(2)|M₆ˢ(2)|2M₅ˢ(2)|2M₆ˢ(2)|M₅ˢ(2)|M₆ˢ(2)|2M₅ˢ(2)|2M₆ˢ(2)|M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕M₆ˢ(2)|M₅ˢ(2)⊕2M₆ˢ(2)|2M₅ˢ(2)⊕M₆ˢ(2)
X:(0,1/2,0)|X₁⁺(1)|X₁⁻(1)|2X₁⁺(1)|2X₁⁻(1)|X₂⁺(1)⊕X₃⁺(1)⊕X₄⁺(1)|X₂⁻(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₄⁻(1)|X₄⁺(1)|2X₄⁻(1)|2X₄⁺(1)|X₁⁻(1)⊕X₂⁻(1)⊕X₃⁻(1)|X₁⁺(1)⊕X₂⁺(1)⊕X₃⁺(1)|X₁⁺(1)⊕2X₄⁻(1)|X₁⁻(1)⊕2X₄⁺(1)|X₁⁻(1)⊕X₃⁺(1)⊕X₃⁻(1)|X₁⁺(1)⊕X₃⁺(1)⊕X₃⁻(1)|X₁⁻(1)⊕X₂⁺(1)⊕X₂⁻(1)|X₁⁺(1)⊕X₂⁺(1)⊕X₂⁻(1)|X₂⁻(1)⊕X₃⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₃⁺(1)⊕X₄⁻(1)|2X₁⁺(1)⊕X₄⁻(1)|2X₁⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₂⁻(1)⊕X₄⁺(1)|X₂⁺(1)⊕X₂⁻(1)⊕X₄⁻(1)|X₃⁺(1)⊕X₃⁻(1)⊕X₄⁺(1)|X₃⁺(1)⊕X₃⁻(1)⊕X₄⁻(1)|X₁⁻(1)⊕X₂⁺(1)⊕X₃⁺(1)|X₁⁺(1)⊕X₂⁻(1)⊕X₃⁻(1)|X₅ˢ(2)|X₆ˢ(2)|2X₅ˢ(2)|2X₆ˢ(2)|X₆ˢ(2)|X₅ˢ(2)|2X₆ˢ(2)|2X₅ˢ(2)|X₅ˢ(2)⊕2X₆ˢ(2)|2X₅ˢ(2)⊕X₆ˢ(2)|2X₅ˢ(2)⊕X₆ˢ(2)|X₅ˢ(2)⊕2X₆ˢ(2)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|2Δ₁(1)|2Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)|Δ₂(1)|2Δ₁(1)|2Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|3Δ₁(1)|3Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|3Δ₁(1)|3Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₅ˢ(2)|Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|Δ₅ˢ(2)|Δ₅ˢ(2)|2Δ₅ˢ(2)|2Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)|3Δ₅ˢ(2)
T:(1/2,1/2,w)|T₁(1)|T₂(1)|2T₁(1)|2T₂(1)|T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₃(1)⊕T₄(1)|T₂(1)|T₁(1)|2T₂(1)|2T₁(1)|T₁(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₃(1)⊕T₄(1)|3T₁(1)|3T₂(1)|T₁(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₃(1)⊕T₄(1)|T₁(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₃(1)⊕T₄(1)|3T₂(1)|3T₁(1)|T₅ˢ(2)|T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|T₅ˢ(2)|T₅ˢ(2)|2T₅ˢ(2)|2T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)|3T₅ˢ(2)
Z:(u,1/2,0)|Z₁(1)|Z₂(1)|2Z₁(1)|2Z₂(1)|Z₂(1)⊕Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₃(1)⊕Z₄(1)|Z₄(1)|Z₃(1)|2Z₄(1)|2Z₃(1)|Z₁(1)⊕Z₂(1)⊕Z₃(1)|Z₁(1)⊕Z₂(1)⊕Z₄(1)|Z₁(1)⊕2Z₄(1)|Z₂(1)⊕2Z₃(1)|Z₁(1)⊕2Z₂(1)|2Z₁(1)⊕Z₂(1)|Z₂(1)⊕Z₃(1)⊕Z₄(1)|Z₁(1)⊕Z₃(1)⊕Z₄(1)|Z₁(1)⊕2Z₃(1)|Z₂(1)⊕2Z₄(1)|2Z₁(1)⊕Z₄(1)|2Z₂(1)⊕Z₃(1)|2Z₃(1)⊕Z₄(1)|Z₃(1)⊕2Z₄(1)|Z₁(1)⊕Z₂(1)⊕Z₃(1)|Z₁(1)⊕Z₂(1)⊕Z₄(1)|2Z₂(1)⊕Z₄(1)|2Z₁(1)⊕Z₃(1)|Z₅ˢ(2)|Z₅ˢ(2)|2Z₅ˢ(2)|2Z₅ˢ(2)|Z₅ˢ(2)|Z₅ˢ(2)|2Z₅ˢ(2)|2Z₅ˢ(2)|3Z₅ˢ(2)|3Z₅ˢ(2)|3Z₅ˢ(2)|3Z₅ˢ(2)
