Wyckoff pos.|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(m)|4c(m)|4a(-1)|4a(-1)|4b(-1)|4b(-1)|4c(m)
Band-Rep.|Ag↑G(4)|Aᵤ↑G(4)|Ag↑G(4)|Aᵤ↑G(4)|A′↑G(4)|A′′↑G(4)|AgˢAgˢ↑G(8)|AᵤˢAᵤˢ↑G(8)|AgˢAgˢ↑G(8)|AᵤˢAᵤˢ↑G(8)|¹Eˢ²Eˢ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁻(1)|Γ₁⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁻(1)⊕Γ₄⁺(1)|Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₃⁺(1)⊕Γ₄⁻(1)|4Γ₅ˢ(2)|4Γ₆ˢ(2)|4Γ₅ˢ(2)|4Γ₆ˢ(2)|2Γ₅ˢ(2)⊕2Γ₆ˢ(2)
R:(1/2,1/2,1/2)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₁R₂(4)|R₃ˢR₃ˢ(4)⊕R₄ˢR₄ˢ(4)|R₃ˢR₃ˢ(4)⊕R₄ˢR₄ˢ(4)|R₃ˢR₃ˢ(4)⊕R₄ˢR₄ˢ(4)|R₃ˢR₃ˢ(4)⊕R₄ˢR₄ˢ(4)|R₃ˢR₃ˢ(4)⊕R₄ˢR₄ˢ(4)
S:(1/2,1/2,0)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₁S₂(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)|S₃ˢS₃ˢ(4)⊕S₄ˢS₄ˢ(4)
T:(0,1/2,1/2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|T₁(2)⊕T₂(2)|2T₃ˢT₄ˢ(4)|2T₃ˢT₄ˢ(4)|2T₃ˢT₄ˢ(4)|2T₃ˢT₄ˢ(4)|2T₃ˢT₄ˢ(4)
U:(1/2,0,1/2)|U₁⁺U₄⁺(2)⊕U₂⁺U₃⁺(2)|U₁⁻U₄⁻(2)⊕U₂⁻U₃⁻(2)|U₁⁻U₄⁻(2)⊕U₂⁻U₃⁻(2)|U₁⁺U₄⁺(2)⊕U₂⁺U₃⁺(2)|U₁⁺U₄⁺(2)⊕U₂⁻U₃⁻(2)|U₁⁻U₄⁻(2)⊕U₂⁺U₃⁺(2)|2U₅ˢU₅ˢ(4)|2U₆ˢU₆ˢ(4)|2U₆ˢU₆ˢ(4)|2U₅ˢU₅ˢ(4)|U₅ˢU₅ˢ(4)⊕U₆ˢU₆ˢ(4)
X:(1/2,0,0)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|X₁(2)⊕X₂(2)|2X₁(2)|2X₂(2)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)|2X₃ˢX₄ˢ(4)
Y:(0,1/2,0)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|Y₁(2)⊕Y₂(2)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)|2Y₃ˢY₄ˢ(4)
