Wyckoff pos.|4a(2)|4a(2)|4b(m)|4b(m)|4a(2)|4b(m)
Band-Rep.|A↑G(2)|B↑G(2)|A'↑G(2)|A''↑G(2)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)⊕Γ₂(1)|Γ₃(1)⊕Γ₄(1)|Γ₁(1)⊕Γ₄(1)|Γ₂(1)⊕Γ₃(1)|2Γˢ₅(2)|2Γˢ₅(2)
T:(1/2,0,-1)|T₁(2)|T₁(2)|T₁(2)|T₁(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)|Tˢ₂Tˢ₅(2)⊕Tˢ₃Tˢ₄(2)
Y:(0,0,-1)|Y₁(1)⊕Y₂(1)|Y₃(1)⊕Y₄(1)|Y₁(1)⊕Y₄(1)|Y₂(1)⊕Y₃(1)|2Yˢ₅(2)|2Yˢ₅(2)
Z:(1/2,0,0)|Z₁(2)|Z₁(2)|Z₁(2)|Z₁(2)|Zˢ₂Zˢ₅(2)⊕Zˢ₃Zˢ₄(2)|Zˢ₂Zˢ₅(2)⊕Zˢ₃Zˢ₄(2)
R:(1/2,1/2,-1/2)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|R₁(1)⊕R₂(1)|2Rˢ₃Rˢ₄(2)|2Rˢ₃Rˢ₄(2)
S:(0,1/2,-1/2)|S₁(1)⊕S₂(1)|S₁(1)⊕S₂(1)|2S₁(1)|2S₂(1)|2Sˢ₃Sˢ₄(2)|2Sˢ₃Sˢ₄(2)
A:(1/2,0,w)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|Aˢ₂(1)⊕Aˢ₃(1)⊕Aˢ₄(1)⊕Aˢ₅(1)|Aˢ₂(1)⊕Aˢ₃(1)⊕Aˢ₄(1)⊕Aˢ₅(1)
Σ:(0,0,w)|Σ₁(1)⊕Σ₂(1)|Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₄(1)|Σ₂(1)⊕Σ₃(1)|2Σˢ₅(2)|2Σˢ₅(2)
B:(1/2,v,0)|B₁B₂(2)|B₁B₂(2)|B₁B₂(2)|B₁B₂(2)|2Bˢ₃Bˢ₄(2)|2Bˢ₃Bˢ₄(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₂(1)|2Δ₁(1)|2Δ₂(1)|2Δˢ₃(1)⊕2Δˢ₄(1)|2Δˢ₃(1)⊕2Δˢ₄(1)
H:(u,0,-1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|H₁(1)⊕H₂(1)|2Hˢ₃(1)⊕2Hˢ₄(1)|2Hˢ₃(1)⊕2Hˢ₄(1)
Λ:(u,0,0)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λˢ₃(1)⊕2Λˢ₄(1)|2Λˢ₃(1)⊕2Λˢ₄(1)
M:(u,0,w)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|M₁(1)⊕M₂(1)|2Mˢ₃(1)⊕2Mˢ₄(1)|2Mˢ₃(1)⊕2Mˢ₄(1)
P:(0,v,w)|P₁(1)⊕P₂(1)|P₁(1)⊕P₂(1)|2P₁(1)|2P₂(1)|2Pˢ₃(1)⊕2Pˢ₄(1)|2Pˢ₃(1)⊕2Pˢ₄(1)
Q:(1/2,v,w)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|Q₁(1)⊕Q₂(1)|2Qˢ₃(1)⊕2Qˢ₄(1)|2Qˢ₃(1)⊕2Qˢ₄(1)
D:(u,1/2,-1/2)|2D₁(1)|2D₁(1)|2D₁(1)|2D₁(1)|4Dˢ₂(1)|4Dˢ₂(1)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|4Ωˢ₂(1)|4Ωˢ₂(1)
K:(u,v,0)|2K₁(1)|2K₁(1)|2K₁(1)|2K₁(1)|4Kˢ₂(1)|4Kˢ₂(1)
