Wyckoff pos.|2a(23)|2a(23)|2a(23)|6b(222)|6b(222)|6b(222)|6b(222)|2a(23)|2a(23)|6b(222)
Band-Rep.|A↑G(1)|¹E²E↑G(2)|T↑G(3)|A↑G(3)|B₁↑G(3)|B₂↑G(3)|B₃↑G(3)|Eˢ↑G(2)|¹Fˢ²Fˢ↑G(4)|Eˢ↑G(6)
Decomposable|false|false|false|false|false|false|false|false|false|true
Γ:(0,0,0)|Γ₁(1)|Γ₂Γ₃(2)|Γ₄(3)|Γ₁(1)⊕Γ₂Γ₃(2)|Γ₄(3)|Γ₄(3)|Γ₄(3)|Γ₅ˢ(2)|Γ₆ˢΓ₇ˢ(4)|Γ₅ˢ(2)⊕Γ₆ˢΓ₇ˢ(4)
H:(1,1,1)|H₁(1)|H₂H₃(2)|H₄(3)|H₁(1)⊕H₂H₃(2)|H₄(3)|H₄(3)|H₄(3)|H₅ˢ(2)|H₆ˢH₇ˢ(4)|H₅ˢ(2)⊕H₆ˢH₇ˢ(4)
P:(1/2,1/2,1/2)|P₁(1)|P₂(1)⊕P₃(1)|P₄(3)|P₄(3)|P₄(3)|P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)|P₅ˢ(2)|P₆ˢ(2)⊕P₇ˢ(2)|P₅ˢ(2)⊕P₆ˢ(2)⊕P₇ˢ(2)
PA:(-1/2,-1/2,-1/2)|PA₁(1)|PA₂(1)⊕PA₃(1)|PA₄(3)|PA₄(3)|PA₄(3)|PA₄(3)|PA₁(1)⊕PA₂(1)⊕PA₃(1)|PA₅ˢ(2)|PA₆ˢ(2)⊕PA₇ˢ(2)|PA₅ˢ(2)⊕PA₆ˢ(2)⊕PA₇ˢ(2)
N:(1/2,1/2,0)|N₁(1)|2N₁(1)|N₁(1)⊕2N₂(1)|N₁(1)⊕2N₂(1)|N₁(1)⊕2N₂(1)|N₁(1)⊕2N₂(1)|3N₁(1)|N₃ˢN₄ˢ(2)|2N₃ˢN₄ˢ(2)|3N₃ˢN₄ˢ(2)
Λ:(u,u,u)|Λ₁(1)|Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕Λ₅ˢ(1)⊕Λ₆ˢ(1)|2Λ₄ˢ(1)⊕2Λ₅ˢ(1)⊕2Λ₆ˢ(1)
D:(1/2,1/2,w)|D₁(1)|2D₁(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|3D₁(1)|D₃ˢ(1)⊕D₄ˢ(1)|2D₃ˢ(1)⊕2D₄ˢ(1)|3D₃ˢ(1)⊕3D₄ˢ(1)
Δ:(0,v,0)|Δ₁(1)|2Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|3Δ₁(1)|Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕2Δ₂(1)|Δ₁(1)⊕2Δ₂(1)|Δ₃ˢ(1)⊕Δ₄ˢ(1)|2Δ₃ˢ(1)⊕2Δ₄ˢ(1)|3Δ₃ˢ(1)⊕3Δ₄ˢ(1)
A:(u,v,0)|A₁(1)|2A₁(1)|3A₁(1)|3A₁(1)|3A₁(1)|3A₁(1)|3A₁(1)|2A₂ˢ(1)|4A₂ˢ(1)|6A₂ˢ(1)
C:(u,u,w)|C₁(1)|2C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|3C₁(1)|2C₂ˢ(1)|4C₂ˢ(1)|6C₂ˢ(1)
G:(1+u,1-u,1)|G₁(1)|2G₁(1)|3G₁(1)|3G₁(1)|3G₁(1)|3G₁(1)|3G₁(1)|2G₂ˢ(1)|4G₂ˢ(1)|6G₂ˢ(1)
Ω:(u,v,w)|Ω₁(1)|2Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|3Ω₁(1)|2Ω₂ˢ(1)|4Ω₂ˢ(1)|6Ω₂ˢ(1)
Σ:(u,u,0)|Σ₁(1)|2Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|3Σ₁(1)|2Σ₂ˢ(1)|4Σ₂ˢ(1)|6Σ₂ˢ(1)
