Wyckoff pos.|2a(-43m)|2a(-43m)|2a(-43m)|2a(-43m)|2a(-43m)|4b(-3m)|4b(-3m)|4b(-3m)|4b(-3m)|4b(-3m)|4b(-3m)|4c(-3m)|4c(-3m)|4c(-3m)|4c(-3m)|4c(-3m)|4c(-3m)|6d(-42m)|6d(-42m)|6d(-42m)|6d(-42m)|12f(222)|12f(222)|12f(222)|12f(222)|2a(-43m)|2a(-43m)|2a(-43m)|4b(-3m)|4b(-3m)|4b(-3m)|4b(-3m)|4c(-3m)|4c(-3m)|4c(-3m)|4c(-3m)|6d(-42m)|6d(-42m)|12f(222)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|T₁↑G(6)|T₂↑G(6)|A₁g↑G(4)|A₁ᵤ↑G(4)|A₂g↑G(4)|A₂ᵤ↑G(4)|Eg↑G(8)|Eᵤ↑G(8)|A₁g↑G(4)|A₁ᵤ↑G(4)|A₂g↑G(4)|A₂ᵤ↑G(4)|Eg↑G(8)|Eᵤ↑G(8)|A₁↑G(6)|A₂↑G(6)|B₁↑G(6)|B₂↑G(6)|A↑G(12)|B₁↑G(12)|B₂↑G(12)|B₃↑G(12)|E₁ˢ↑G(4)|E₂ˢ↑G(4)|Fˢ↑G(8)|¹Egˢ²Egˢ↑G(8)|¹Eᵤˢ²Eᵤˢ↑G(8)|E₁gˢ↑G(8)|E₁ᵤˢ↑G(8)|¹Egˢ²Egˢ↑G(8)|¹Eᵤˢ²Eᵤˢ↑G(8)|E₁gˢ↑G(8)|E₁ᵤˢ↑G(8)|E₁ˢ↑G(12)|E₂ˢ↑G(12)|Eˢ↑G(24)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|true|true|true|true|true|true|true|true|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₁⁺(1)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₁⁻(1)⊕Γ₂⁺(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₁⁺(1)⊕Γ₁⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₂⁻(1)⊕Γ₃⁺(2)⊕Γ₃⁻(2)⊕Γ₄⁺(3)⊕Γ₄⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₄⁺(3)⊕Γ₄⁻(3)⊕Γ₅⁺(3)⊕Γ₅⁻(3)|Γ₆ˢ(2)⊕Γ₉ˢ(2)|Γ₇ˢ(2)⊕Γ₈ˢ(2)|Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|2Γ₁₀ˢ(4)|2Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₁₀ˢ(4)|Γ₈ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₁ˢ(4)|2Γ₁₀ˢ(4)|2Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₁₀ˢ(4)|Γ₈ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₉ˢ(2)⊕Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₁₀ˢ(4)⊕Γ₁₁ˢ(4)|Γ₆ˢ(2)⊕Γ₇ˢ(2)⊕Γ₈ˢ(2)⊕Γ₉ˢ(2)⊕2Γ₁₀ˢ(4)⊕2Γ₁₁ˢ(4)
R:(1/2,1/2,1/2)|R₁⁺(1)⊕R₂⁻(1)|R₁⁻(1)⊕R₂⁺(1)|R₃⁺(2)⊕R₃⁻(2)|R₄⁺(3)⊕R₅⁻(3)|R₄⁻(3)⊕R₅⁺(3)|R₁⁺(1)⊕R₅⁺(3)|R₁⁻(1)⊕R₅⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₂⁻(1)⊕R₄⁻(3)|R₃⁺(2)⊕R₄⁺(3)⊕R₅⁺(3)|R₃⁻(2)⊕R₄⁻(3)⊕R₅⁻(3)|R₂⁻(1)⊕R₄⁻(3)|R₂⁺(1)⊕R₄⁺(3)|R₁⁻(1)⊕R₅⁻(3)|R₁⁺(1)⊕R₅⁺(3)|R₃⁻(2)⊕R₄⁻(3)⊕R₅⁻(3)|R₃⁺(2)⊕R₄⁺(3)⊕R₅⁺(3)|R₄⁻(3)⊕R₅⁺(3)|R₁⁻(1)⊕R₂⁺(1)⊕R₃⁺(2)⊕R₃⁻(2)|R₄⁺(3)⊕R₅⁻(3)|R₁⁺(1)⊕R₂⁻(1)⊕R₃⁺(2)⊕R₃⁻(2)|R₄⁺(3)⊕R₄⁻(3)⊕R₅⁺(3)⊕R₅⁻(3)|R₄⁺(3)⊕R₄⁻(3)⊕R₅⁺(3)⊕R₅⁻(3)|R₁⁺(1)⊕R₁⁻(1)⊕R₃⁺(2)⊕R₃⁻(2)⊕R₅⁺(3)⊕R₅⁻(3)|R₂⁺(1)⊕R₂⁻(1)⊕R₃⁺(2)⊕R₃⁻(2)⊕R₄⁺(3)⊕R₄⁻(3)|R₆ˢ(2)⊕R₉ˢ(2)|R₇ˢ(2)⊕R₈ˢ(2)|R₁₀ˢ(4)⊕R₁₁ˢ(4)|2R₁₀ˢ(4)|2R₁₁ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕R₁₀ˢ(4)|R₈ˢ(2)⊕R₉ˢ(2)⊕R₁₁ˢ(4)|2R₁₁ˢ(4)|2R₁₀ˢ(4)|R₈ˢ(2)⊕R₉ˢ(2)⊕R₁₁ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕R₁₀ˢ(4)|R₇ˢ(2)⊕R₈ˢ(2)⊕R₁₀ˢ(4)⊕R₁₁ˢ(4)|R₆ˢ(2)⊕R₉ˢ(2)⊕R₁₀ˢ(4)⊕R₁₁ˢ(4)|R₆ˢ(2)⊕R₇ˢ(2)⊕R₈ˢ(2)⊕R₉ˢ(2)⊕2R₁₀ˢ(4)⊕2R₁₁ˢ(4)
M:(1/2,1/2,0)|M₁(2)|M₂(2)|M₁(2)⊕M₂(2)|M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)|M₂(2)⊕M₃(2)|M₂(2)⊕M₄(2)|M₁(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)|M₂(2)⊕M₃(2)|M₂(2)⊕M₄(2)|M₁(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕M₃(2)⊕M₄(2)|M₁(2)⊕2M₂(2)|M₂(2)⊕M₃(2)⊕M₄(2)|2M₁(2)⊕M₂(2)|M₁(2)⊕M₂(2)⊕3M₃(2)⊕M₄(2)|M₁(2)⊕M₂(2)⊕M₃(2)⊕3M₄(2)|2M₁(2)⊕2M₂(2)⊕M₃(2)⊕M₄(2)|2M₁(2)⊕2M₂(2)⊕M₃(2)⊕M₄(2)|M₅ˢ(4)|M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|2M₅ˢ(4)|3M₅ˢ(4)|3M₅ˢ(4)|6M₅ˢ(4)
X:(0,1/2,0)|X₁(2)|X₂(2)|X₁(2)⊕X₂(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₄(2)|X₂(2)⊕X₄(2)|X₂(2)⊕X₃(2)|X₁(2)⊕X₃(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)|X₂(2)⊕X₃(2)|X₂(2)⊕X₄(2)|X₁(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕X₂(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕2X₂(2)|X₁(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|2X₁(2)⊕2X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕3X₄(2)|X₁(2)⊕X₂(2)⊕3X₃(2)⊕X₄(2)|X₅ˢ(4)|X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|2X₅ˢ(4)|3X₅ˢ(4)|3X₅ˢ(4)|6X₅ˢ(4)
Δ:(0,v,0)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₃(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|2Δ₁(1)⊕2Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕4Δ₅(2)|Δ₆ˢ(2)⊕Δ₇ˢ(2)|Δ₆ˢ(2)⊕Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|2Δ₆ˢ(2)⊕2Δ₇ˢ(2)|3Δ₆ˢ(2)⊕3Δ₇ˢ(2)|3Δ₆ˢ(2)⊕3Δ₇ˢ(2)|6Δ₆ˢ(2)⊕6Δ₇ˢ(2)
T:(1/2,1/2,w)|T₁(1)⊕T₃(1)|T₂(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)|T₂(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₂(1)⊕T₄(1)⊕T₅(2)|T₁(1)⊕T₃(1)⊕T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕2T₅(2)|T₁(1)⊕T₃(1)⊕2T₅(2)|T₁(1)⊕2T₂(1)⊕T₃(1)⊕2T₄(1)|T₂(1)⊕T₄(1)⊕2T₅(2)|2T₁(1)⊕T₂(1)⊕2T₃(1)⊕T₄(1)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕4T₅(2)|T₁(1)⊕T₂(1)⊕T₃(1)⊕T₄(1)⊕4T₅(2)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)⊕2T₅(2)|2T₁(1)⊕2T₂(1)⊕2T₃(1)⊕2T₄(1)⊕2T₅(2)|T₆ˢ(2)⊕T₇ˢ(2)|T₆ˢ(2)⊕T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|2T₆ˢ(2)⊕2T₇ˢ(2)|3T₆ˢ(2)⊕3T₇ˢ(2)|3T₆ˢ(2)⊕3T₇ˢ(2)|6T₆ˢ(2)⊕6T₇ˢ(2)
Λ:(u,u,u)|2Λ₁(1)|2Λ₂(1)|2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₁(1)⊕2Λ₂(1)⊕4Λ₃(2)|2Λ₆ˢ(2)|2Λ₆ˢ(2)|2Λ₄ˢΛ₅ˢ(2)⊕2Λ₆ˢ(2)|2Λ₄ˢΛ₅ˢ(2)⊕2Λ₆ˢ(2)|2Λ₄ˢΛ₅ˢ(2)⊕2Λ₆ˢ(2)|Λ₄ˢΛ₅ˢ(2)⊕3Λ₆ˢ(2)|Λ₄ˢΛ₅ˢ(2)⊕3Λ₆ˢ(2)|2Λ₄ˢΛ₅ˢ(2)⊕2Λ₆ˢ(2)|2Λ₄ˢΛ₅ˢ(2)⊕2Λ₆ˢ(2)|Λ₄ˢΛ₅ˢ(2)⊕3Λ₆ˢ(2)|Λ₄ˢΛ₅ˢ(2)⊕3Λ₆ˢ(2)|2Λ₄ˢΛ₅ˢ(2)⊕4Λ₆ˢ(2)|2Λ₄ˢΛ₅ˢ(2)⊕4Λ₆ˢ(2)|4Λ₄ˢΛ₅ˢ(2)⊕8Λ₆ˢ(2)
