Wyckoff pos.|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)|2e(2)|2e(2)|2f(2)|2f(2)|2a(-1)|2a(-1)|2b(-1)|2b(-1)|2c(-1)|2c(-1)|2d(-1)|2d(-1)|2e(2)|2f(2)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|AgˢAgˢ↑G(4)|AᵤˢAᵤˢ↑G(4)|¹Eˢ²Eˢ↑G(4)|¹Eˢ²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)|A₂ˢA₂ˢ(4)
B:(0,0,1/2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)|B₂ˢB₂ˢ(4)
C:(1/2,1/2,0)|C₁⁺(1)⊕C₂⁺(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₂⁺(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₂⁺(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₂⁺(1)|C₁⁺(1)⊕C₁⁻(1)|C₂⁺(1)⊕C₂⁻(1)|C₂⁺(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₁⁻(1)|2C₃ˢC₄ˢ(2)|2C₅ˢC₆ˢ(2)|2C₃ˢC₄ˢ(2)|2C₅ˢC₆ˢ(2)|2C₅ˢC₆ˢ(2)|2C₃ˢC₄ˢ(2)|2C₅ˢC₆ˢ(2)|2C₃ˢC₄ˢ(2)|C₃ˢC₄ˢ(2)⊕C₅ˢC₆ˢ(2)|C₃ˢC₄ˢ(2)⊕C₅ˢC₆ˢ(2)
D:(0,1/2,1/2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)|D₂ˢD₂ˢ(4)
E:(1/2,1/2,1/2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)|E₂ˢE₂ˢ(4)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|2Γ₃ˢΓ₄ˢ(2)|2Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)⊕Γ₅ˢΓ₆ˢ(2)|Γ₃ˢΓ₄ˢ(2)⊕Γ₅ˢΓ₆ˢ(2)
Y:(1/2,0,0)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₁⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)|2Y₃ˢY₄ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₃ˢY₄ˢ(2)|2Y₃ˢY₄ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₅ˢY₆ˢ(2)|2Y₃ˢY₄ˢ(2)|Y₃ˢY₄ˢ(2)⊕Y₅ˢY₆ˢ(2)|Y₃ˢY₄ˢ(2)⊕Y₅ˢY₆ˢ(2)
Z:(0,1/2,0)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₁⁻(1)|Z₂⁺(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₁⁻(1)|Z₂⁺(1)⊕Z₂⁻(1)|2Z₃ˢZ₄ˢ(2)|2Z₅ˢZ₆ˢ(2)|2Z₅ˢZ₆ˢ(2)|2Z₃ˢZ₄ˢ(2)|2Z₅ˢZ₆ˢ(2)|2Z₃ˢZ₄ˢ(2)|2Z₃ˢZ₄ˢ(2)|2Z₅ˢZ₆ˢ(2)|Z₃ˢZ₄ˢ(2)⊕Z₅ˢZ₆ˢ(2)|Z₃ˢZ₄ˢ(2)⊕Z₅ˢZ₆ˢ(2)
F:(u,0,w)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)|2F₃ˢF₄ˢ(2)
G:(u,1/2,w)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|G₁(1)⊕G₂(1)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)|2G₃ˢG₄ˢ(2)
Λ:(0,v,0)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|Λ₁(1)⊕Λ₂(1)|2Λ₁(1)|2Λ₂(1)|2Λ₁(1)|2Λ₂(1)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)|2Λ₃ˢΛ₄ˢ(2)
U:(1/2,v,1/2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₁U₂(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)|U₃ˢU₃ˢ(2)⊕U₄ˢU₄ˢ(2)
V:(0,v,1/2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₁V₂(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)|V₃ˢV₃ˢ(2)⊕V₄ˢV₄ˢ(2)
W:(1/2,v,0)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|W₁(1)⊕W₂(1)|2W₁(1)|2W₂(1)|2W₂(1)|2W₁(1)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)|2W₃ˢW₄ˢ(2)
Ω:(u,v,w)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₁(1)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)|2Ω₂ˢΩ₂ˢ(2)
