Wyckoff pos.|2a(1ˢ)|2a(1ˢ)|2b(1ˢ)|2b(1ˢ)|2c(1ˢ)|2c(1ˢ)|2d(1ˢ)|2d(1ˢ)|2e(2)|2e(2)|2f(2)|2f(2)|2a(1ˢ)|2a(1ˢ)|2b(1ˢ)|2b(1ˢ)|2c(1ˢ)|2c(1ˢ)|2d(1ˢ)|2d(1ˢ)|2e(2)|2e(2)|2f(2)|2f(2)
Band-Rep.|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|Ag↑G(2)|Aᵤ↑G(2)|A↑G(2)|B↑G(2)|A↑G(2)|B↑G(2)|Aˢg↑G(2)|Aˢᵤ↑G(2)|Aˢg↑G(2)|Aˢᵤ↑G(2)|Aˢg↑G(2)|Aˢᵤ↑G(2)|Aˢg↑G(2)|Aˢᵤ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)|¹Eˢ↑G(2)|²Eˢ↑G(2)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false
A:(1/2,0,1/2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|A₁(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)|Aˢ₂(2)
B:(0,0,1/2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|B₁(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)|Bˢ₂(2)
C:(1/2,1/2,0)|C₁⁺(1)⊕C₂⁺(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₂⁺(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₂⁺(1)|C₁⁻(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₂⁺(1)|C₁⁺(1)⊕C₁⁻(1)|C₂⁺(1)⊕C₂⁻(1)|C₂⁺(1)⊕C₂⁻(1)|C₁⁺(1)⊕C₁⁻(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₅(1)⊕Cˢ₆(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₅(1)⊕Cˢ₆(1)|Cˢ₅(1)⊕Cˢ₆(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₅(1)⊕Cˢ₆(1)|Cˢ₃(1)⊕Cˢ₄(1)|Cˢ₃(1)⊕Cˢ₅(1)|Cˢ₄(1)⊕Cˢ₆(1)|Cˢ₄(1)⊕Cˢ₆(1)|Cˢ₃(1)⊕Cˢ₅(1)
D:(0,1/2,1/2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|D₁(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)|Dˢ₂(2)
E:(1/2,1/2,1/2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|E₁(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)|Eˢ₂(2)
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₂⁺(1)|Γ₁⁻(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γ₁⁺(1)⊕Γ₁⁻(1)|Γ₂⁺(1)⊕Γ₂⁻(1)|Γˢ₃(1)⊕Γˢ₄(1)|Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₃(1)⊕Γˢ₄(1)|Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₃(1)⊕Γˢ₄(1)|Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₃(1)⊕Γˢ₄(1)|Γˢ₅(1)⊕Γˢ₆(1)|Γˢ₃(1)⊕Γˢ₅(1)|Γˢ₄(1)⊕Γˢ₆(1)|Γˢ₃(1)⊕Γˢ₅(1)|Γˢ₄(1)⊕Γˢ₆(1)
Y:(1/2,0,0)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁻(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₂⁺(1)|Y₁⁺(1)⊕Y₁⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|Y₂⁺(1)⊕Y₂⁻(1)|Y₁⁺(1)⊕Y₁⁻(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₅(1)⊕Yˢ₆(1)|Yˢ₅(1)⊕Yˢ₆(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₅(1)⊕Yˢ₆(1)|Yˢ₅(1)⊕Yˢ₆(1)|Yˢ₃(1)⊕Yˢ₄(1)|Yˢ₃(1)⊕Yˢ₅(1)|Yˢ₄(1)⊕Yˢ₆(1)|Yˢ₄(1)⊕Yˢ₆(1)|Yˢ₃(1)⊕Yˢ₅(1)
Z:(0,1/2,0)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁺(1)⊕Z₂⁺(1)|Z₁⁻(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₁⁻(1)|Z₂⁺(1)⊕Z₂⁻(1)|Z₁⁺(1)⊕Z₁⁻(1)|Z₂⁺(1)⊕Z₂⁻(1)|Zˢ₃(1)⊕Zˢ₄(1)|Zˢ₅(1)⊕Zˢ₆(1)|Zˢ₅(1)⊕Zˢ₆(1)|Zˢ₃(1)⊕Zˢ₄(1)|Zˢ₅(1)⊕Zˢ₆(1)|Zˢ₃(1)⊕Zˢ₄(1)|Zˢ₃(1)⊕Zˢ₄(1)|Zˢ₅(1)⊕Zˢ₆(1)|Zˢ₃(1)⊕Zˢ₅(1)|Zˢ₄(1)⊕Zˢ₆(1)|Zˢ₃(1)⊕Zˢ₅(1)|Zˢ₄(1)⊕Zˢ₆(1)
F:(u,0,w)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|F₁(1)⊕F₂(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)|Fˢ₃(1)⊕Fˢ₄(1)
