Wyckoff pos.|8a(4ˢ3m)|8a(4ˢ3m)|8a(4ˢ3m)|8a(4ˢ3m)|8a(4ˢ3m)|8b(4ˢ3m)|8b(4ˢ3m)|8b(4ˢ3m)|8b(4ˢ3m)|8b(4ˢ3m)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)|8a(4ˢ3m)|8a(4ˢ3m)|8b(4ˢ3m)|8b(4ˢ3m)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16c(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)|16d(3ˢm)
Band-Rep.|A₁↑G(2)|A₂↑G(2)|E↑G(4)|T₁↑G(6)|T₂↑G(6)|A₁↑G(2)|A₂↑G(2)|E↑G(4)|T₁↑G(6)|T₂↑G(6)|A₁g↑G(4)|A₁ᵤ↑G(4)|A₂g↑G(4)|A₂ᵤ↑G(4)|Eg↑G(8)|Eᵤ↑G(8)|A₁g↑G(4)|A₁ᵤ↑G(4)|A₂g↑G(4)|A₂ᵤ↑G(4)|Eg↑G(8)|Eᵤ↑G(8)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|Eˢ₁↑G(4)|Eˢ₂↑G(4)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)|Eˢ₁g↑G(8)|Eˢ₁ᵤ↑G(8)|¹Eˢg↑G(4)|¹Eˢᵤ↑G(4)|²Eˢg↑G(4)|²Eˢᵤ↑G(4)|Eˢ₁g↑G(8)|Eˢ₁ᵤ↑G(8)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|false|false|true|true
Γ:(0,0,0)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₁⁺(1)⊕Γ₂⁻(1)|Γ₁⁻(1)⊕Γ₂⁺(1)|Γ₃⁺(2)⊕Γ₃⁻(2)|Γ₄⁺(3)⊕Γ₅⁻(3)|Γ₄⁻(3)⊕Γ₅⁺(3)|Γ₁⁺(1)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γ₁⁺(1)⊕Γ₅⁺(3)|Γ₁⁻(1)⊕Γ₅⁻(3)|Γ₂⁺(1)⊕Γ₄⁺(3)|Γ₂⁻(1)⊕Γ₄⁻(3)|Γ₃⁺(2)⊕Γ₄⁺(3)⊕Γ₅⁺(3)|Γ₃⁻(2)⊕Γ₄⁻(3)⊕Γ₅⁻(3)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₆(2)⊕Γˢ₉(2)|Γˢ₇(2)⊕Γˢ₈(2)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₁(4)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₁₀(4)|Γˢ₁₁(4)|Γˢ₆(2)⊕Γˢ₇(2)⊕Γˢ₁₀(4)|Γˢ₈(2)⊕Γˢ₉(2)⊕Γˢ₁₁(4)
X:(0,1,0)|X₁(2)|X₂(2)|X₁(2)⊕X₂(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)⊕X₄(2)|X₁(2)|X₂(2)|X₁(2)⊕X₂(2)|X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)|X₂(2)⊕X₃(2)|X₂(2)⊕X₄(2)|X₁(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₃(2)|X₂(2)⊕X₃(2)|X₂(2)⊕X₄(2)|X₁(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|X₁(2)⊕X₂(2)⊕X₃(2)⊕X₄(2)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|Xˢ₅(4)|2Xˢ₅(4)|2Xˢ₅(4)
L:(1/2,1/2,1/2)|L₁⁺(1)⊕L₂⁻(1)|L₁⁻(1)⊕L₂⁺(1)|L₃⁺(2)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)|L₁⁻(1)⊕L₂⁺(1)|L₃⁺(2)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕2L₃⁻(2)|L₁⁺(1)⊕L₂⁺(1)⊕2L₃⁺(2)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁺(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁺(1)⊕L₃⁺(2)|L₁⁺(1)⊕L₂⁻(1)⊕L₃⁻(2)|L₁⁺(1)⊕L₂⁺(1)⊕2L₃⁺(2)⊕L₃⁻(2)|L₁⁻(1)⊕L₂⁻(1)⊕L₃⁺(2)⊕2L₃⁻(2)|Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₉(2)|Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₈(2)|Lˢ₄(1)⊕Lˢ₆(1)⊕Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₆(1)⊕Lˢ₈(2)|Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(2)⊕2Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₆(1)⊕Lˢ₈(2)|Lˢ₄(1)⊕Lˢ₆(1)⊕Lˢ₉(2)|Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₈(2)|Lˢ₅(1)⊕Lˢ₇(1)⊕Lˢ₉(2)|Lˢ₄(1)⊕Lˢ₅(1)⊕2Lˢ₈(2)⊕Lˢ₉(2)|Lˢ₆(1)⊕Lˢ₇(1)⊕Lˢ₈(2)⊕2Lˢ₉(2)
W:(1/2,1,0)|W₁(2)|W₂(2)|W₁(2)⊕W₂(2)|2W₁(2)⊕W₂(2)|W₁(2)⊕2W₂(2)|W₂(2)|W₁(2)|W₁(2)⊕W₂(2)|W₁(2)⊕2W₂(2)|2W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|W₁(2)⊕W₂(2)|2W₁(2)⊕2W₂(2)|2W₁(2)⊕2W₂(2)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₇(2)|Wˢ₅(1)⊕Wˢ₆(1)⊕Wˢ₇(2)|Wˢ₄(1)⊕Wˢ₆(1)⊕Wˢ₇(2)|Wˢ₄(1)⊕Wˢ₆(1)⊕Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₅(1)⊕Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₅(1)⊕Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₅(1)⊕Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₅(1)⊕Wˢ₇(2)|Wˢ₄(1)⊕Wˢ₆(1)⊕Wˢ₇(2)|Wˢ₄(1)⊕Wˢ₆(1)⊕Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)|Wˢ₃(1)⊕Wˢ₄(1)⊕Wˢ₅(1)⊕Wˢ₆(1)⊕2Wˢ₇(2)
Δ:(0,v,0)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)|Δ₂(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₂(1)⊕Δ₄(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₃(1)⊕Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)⊕2Δ₅(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|Δˢ₆(2)⊕Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)|2Δˢ₆(2)⊕2Δˢ₇(2)
Λ:(u,u,u)|2Λ₁(1)|2Λ₂(1)|2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₁(1)|2Λ₂(1)|2Λ₃(2)|2Λ₂(1)⊕2Λ₃(2)|2Λ₁(1)⊕2Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₂(1)⊕Λ₃(2)|2Λ₁(1)⊕Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|Λ₁(1)⊕Λ₂(1)⊕3Λ₃(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₆(2)|2Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)|Λˢ₄(1)⊕Λˢ₅(1)⊕3Λˢ₆(2)
Σ:(u,u,0)|Σ₁(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₃(1)|Σ₂(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕2Σ₂(1)⊕Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)⊕Σ₄(1)|2Σ₁(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₄(1)|2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₄(1)|2Σ₂(1)⊕Σ₃(1)⊕Σ₄(1)|Σ₁(1)⊕Σ₂(1)⊕2Σ₃(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σ₁(1)⊕2Σ₂(1)⊕2Σ₃(1)⊕2Σ₄(1)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|2Σˢ₅(2)|4Σˢ₅(2)|4Σˢ₅(2)
