Wyckoff pos.|2a(432)|2a(432)|2a(432)|2a(432)|2a(432)|6b(422)|6b(422)|6b(422)|6b(422)|8c(32)|8c(32)|12d(222)|12d(222)|12d(222)|12d(222)|2a(432)|2a(432)|2a(432)|8c(32)|8c(32)
Band-Rep.|A₁↑G(1)|A₂↑G(1)|E↑G(2)|T₁↑G(3)|T₂↑G(3)|A₁↑G(3)|A₂↑G(3)|B₁↑G(3)|B₂↑G(3)|A₁↑G(4)|A₂↑G(4)|A₁↑G(6)|B₁↑G(6)|B₂↑G(6)|B₃↑G(6)|Eˢ₁↑G(2)|Eˢ₂↑G(2)|Fˢ↑G(4)|¹Eˢ↑G(4)|²Eˢ↑G(4)
Decomposable|false|false|false|false|false|false|false|false|false|false|false|false|false|true|true|false|false|false|false|false
Γ:(0,0,0)|Γ₁(1)|Γ₂(1)|Γ₃(2)|Γ₄(3)|Γ₅(3)|Γ₁(1)⊕Γ₃(2)|Γ₄(3)|Γ₂(1)⊕Γ₃(2)|Γ₅(3)|Γ₁(1)⊕Γ₅(3)|Γ₂(1)⊕Γ₄(3)|Γ₁(1)⊕Γ₃(2)⊕Γ₅(3)|Γ₂(1)⊕Γ₃(2)⊕Γ₄(3)|Γ₄(3)⊕Γ₅(3)|Γ₄(3)⊕Γ₅(3)|Γˢ₆(2)|Γˢ₇(2)|Γˢ₈(4)|Γˢ₈(4)|Γˢ₈(4)
H:(1,1,1)|H₁(1)|H₂(1)|H₃(2)|H₄(3)|H₅(3)|H₁(1)⊕H₃(2)|H₄(3)|H₂(1)⊕H₃(2)|H₅(3)|H₂(1)⊕H₄(3)|H₁(1)⊕H₅(3)|H₂(1)⊕H₃(2)⊕H₄(3)|H₁(1)⊕H₃(2)⊕H₅(3)|H₄(3)⊕H₅(3)|H₄(3)⊕H₅(3)|Hˢ₆(2)|Hˢ₇(2)|Hˢ₈(4)|Hˢ₈(4)|Hˢ₈(4)
P:(1/2,1/2,1/2)|P₁(1)|P₁(1)|P₂(1)⊕P₃(1)|P₄(3)|P₄(3)|P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)|P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)|P₁(1)⊕P₄(3)|P₁(1)⊕P₄(3)|2P₄(3)|2P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(3)|P₁(1)⊕P₂(1)⊕P₃(1)⊕P₄(3)|Pˢ₅(2)|Pˢ₅(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)|Pˢ₆(2)⊕Pˢ₇(2)
N:(1/2,1/2,0)|N₁(1)|N₂(1)|N₁(1)⊕N₂(1)|N₂(1)⊕N₃(1)⊕N₄(1)|N₁(1)⊕N₃(1)⊕N₄(1)|N₁(1)⊕N₃(1)⊕N₄(1)|N₁(1)⊕2N₂(1)|N₂(1)⊕N₃(1)⊕N₄(1)|2N₁(1)⊕N₂(1)|N₁(1)⊕N₂(1)⊕2N₃(1)|N₁(1)⊕N₂(1)⊕2N₄(1)|N₁(1)⊕N₂(1)⊕3N₃(1)⊕N₄(1)|N₁(1)⊕N₂(1)⊕N₃(1)⊕3N₄(1)|2N₁(1)⊕2N₂(1)⊕N₃(1)⊕N₄(1)|2N₁(1)⊕2N₂(1)⊕N₃(1)⊕N₄(1)|Nˢ₅(2)|Nˢ₅(2)|2Nˢ₅(2)|2Nˢ₅(2)|2Nˢ₅(2)
Δ:(0,v,0)|Δ₁(1)|Δ₂(1)|Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕Δ₂(1)|Δ₁(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕2Δ₂(1)|Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|2Δ₁(1)⊕2Δ₂(1)⊕Δ₃(1)⊕Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δ₁(1)⊕Δ₂(1)⊕2Δ₃(1)⊕2Δ₄(1)|Δˢ₆(1)⊕Δˢ₈(1)|Δˢ₅(1)⊕Δˢ₇(1)|Δˢ₅(1)⊕Δˢ₆(1)⊕Δˢ₇(1)⊕Δˢ₈(1)|Δˢ₅(1)⊕Δˢ₆(1)⊕Δˢ₇(1)⊕Δˢ₈(1)|Δˢ₅(1)⊕Δˢ₆(1)⊕Δˢ₇(1)⊕Δˢ₈(1)
Λ:(u,u,u)|Λ₁(1)|Λ₁(1)|Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕Λ₂(1)⊕Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|2Λ₁(1)⊕2Λ₂(1)⊕2Λ₃(1)|Λˢ₅(1)⊕Λˢ₆(1)|Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)|2Λˢ₄(1)⊕Λˢ₅(1)⊕Λˢ₆(1)
D:(1/2,1/2,w)|D₁(1)|D₁(1)|2D₁(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|D₁(1)⊕2D₂(1)|3D₁(1)|D₁(1)⊕2D₂(1)|3D₁(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕2D₂(1)|2D₁(1)⊕4D₂(1)|2D₁(1)⊕4D₂(1)|4D₁(1)⊕2D₂(1)|4D₁(1)⊕2D₂(1)|Dˢ₃(1)⊕Dˢ₄(1)|Dˢ₃(1)⊕Dˢ₄(1)|2Dˢ₃(1)⊕2Dˢ₄(1)|2Dˢ₃(1)⊕2Dˢ₄(1)|2Dˢ₃(1)⊕2Dˢ₄(1)
